Model,Overall Acc,Many-Shot Acc,Med-Shot Acc,Few-Shot Acc
Random Forest,0.3583588957055215,0.47435749683070183,0.13027001421127427,0.04964539007092199
Baseline MLP,0.3200920245398773,0.39748761092543505,0.1679298910468972,0.11347517730496454
Class-Balanced MLP,0.29662576687116565,0.35173447043909184,0.18924680246328754,0.12056737588652482
Re-balanced MLP,0.31510736196319017,0.391955745073182,0.1634296541923259,0.1276595744680851
Logistic Regression,0.32883435582822085,0.45084706695862625,0.08617923447169379,0.0
SVM (Linear),0.2843558282208589,0.41223925319810995,0.030025212010084804,0.0
