Model,Overall Acc,Many-Shot Acc,Med-Shot Acc,Few-Shot Acc
Baseline CNN,0.9830988488945733,0.9969091511204328,0.9269102990033222,0.691358024691358
Class-Balanced CNN,0.9704001461721177,0.9762115023733304,0.9454595791805094,0.8765432098765432
Re-balanced CNN,0.9835099579755162,0.99635721382051,0.92718715393134,0.8024691358024691
